"","guide_title","guide_no","page_no","country","state","category","authors","date_created","year_publisehd","language","Category","Countries"
"250","Pará -- Riozinho do Anfrísio Fishes",270,2,"Brazil","","Animals, Fishes","Flávio Bezerra Barros, Henrique M. Pereira, Luís Vicente","",2010,"English","Fishes","Brazil"
"251","Amazonas - Reptiles and Amphibians of Mamirauá Reserve",1071,49,"Brazil","Amazonas","Animals, Amphibians, Reptiles","Leandro Moraes, Jéssica dos Anjos Oliveira","October, 2018",2018,"English","Herp","Brazil"
"252","São Paulo - Anura of August Ruschi Natural City Park",733,2,"Brazil","","Animals, Amphibians","Matheus Moroti, Jonatas Alves Ferreira Neto, Andriele Cristina Cândido dos Santos, Rodrigo Dela Rosa de Souza, Cristina Pacheco Soares, Ibere Farina Machado","May, 2016",2016,"English","Herp","Brazil"
"253","Minas Gerais -- Frogs and Toads in Farms",714,8,"Brazil","","Animals, Amphibians","Lucas Ferrante, Renato Gaiga, Rafael Costabile Menegucci, Maria Fernanda de Oliveira Sampaio, Thays Natani Silva dos Santos, Nathalia Klann Torres","November, 2015",2015,"English","Herp","Brazil"
"254","Minas Gerais -- Frogs & Toads of Iracambi",641,7,"Brazil","","Animals, Amphibians","Jen Moss, Brecht Van de Veire","August, 2014",2014,"English","Herp","Brazil"
"255","Pará -- Riozinho do Anfrísio Amphibians",271,4,"Brazil","","Animals, Amphibians","Flávio Bezerra Barros, Luís Vicente, Henrique M. Pereira","",2010,"English","Herp","Brazil"
"256","Mato Grosso - Fungi of Cristalino Natural Heritage Reserve (vol. 2)",1047,34,"Brazil","Mato Grosso","Fungi and Lichens, Mushrooms","Susanne Sourell, D. Jean Lodge, João P.M. Araújo, Timothy Baroni, Priscila Chaverri, Ariadne Furtado, Tatiana Gibertoni, Fernanda Karstedt, Jadson J.S. Oliveira, Larissa Trierveiler Pereira, Julia Simon Cardoso ","July, 2018",2018,"English","Fungi","Brazil"
"257","Pará - Macrofungi of the Tapajós National Forest ",996,8,"Brazil","Pará","Mushrooms","Marcos Diones Ferreira Santana, Douglas de Moraes Couceiro , Sheyla Regina Marques Couceiro","April, 2018",2018,"English","Fungi","Brazil"
"258","Amazonas - Macrofungi of the Adolpho Ducke Botanical Garden",929,3,"Brazil","Manaus","Fungi and Lichens","Douglas de Moraes Couceiro, Kely da Silva Cruz, Maria Aparecida da Silva , Maria Aparecida de Jesus","September, 2017",2017,"English","Fungi","Brazil"
"259","Mato Grosso -- Fungi of Cristalino Private Natural Heritage Reserve",719,39,"Brazil","","Fungi and Lichens, Mushrooms","D. Jean Lodge , Susanne Sourell","November, 2015",2015,"English","Fungi","Brazil"
"260","Phalloid fungi (Phallales) of Brazil",716,1,"Brazil","","Fungi and Lichens","Larissa Trierveiler-Pereira ","November, 2015",2015,"English","Fungi","Brazil"
"261","São Paulo -- Hyphomycetes of São Paulo",345,5,"Brazil","","Fungi and Lichens, Mushrooms","Priscila da Silva, Rosely Ana Piccolo Grandi","",2011,"English","Fungi","Brazil"
"262","Amazonas -- Common Mushrooms Part 1",308,2,"Brazil","","Fungi and Lichens, Mushrooms","Ruby Vargas-Isla, Marina Capelari, Noemia Kazue Ishikawa","",2011,"English","Fungi","Brazil"
"263","Orellana - Conspicuous Plants of Yasuní",1110,31,"Ecuador","Orellana","Plants","Ricardo Zambrano C. , Wilson Loor, Renato Valencia, Álvaro J. Pérez","February, 2019",2019,"English","Plants","Ecuador"
"264","Pichincha - Representative Plants of Cerro Casitagua",1090,4,"Ecuador","San Antonio de Pichincha","Plants","Ana Mireya Guerrero G., Mauricio Guerrero Gutiérrez","December, 2018",2018,"English","Plants","Ecuador"
"265","Pichincha - Plants of Trails 1 and 2 of the Pululahua Reserve",1085,4,"Ecuador","","Plants","Carlos Eduardo Cerón Martínez , Consuelo G. Montalvo-A.","December, 2018",2018,"English","Plants","Ecuador"
"266","Imbabura - Common Plants of Los Yaltes Ecological Reserve",1076,18,"Ecuador","Imbabura","Plants","Edison Rea, Francisco Tobar, Nicolás Zapata, Washington Santillán, Mariana Duque, Katya Romoleroux, Daniela Cevallos, Álvaro J. Pérez","October, 2018",2018,"English","Plants","Ecuador"
"267","Pichincha - Plants of Cochasqui Archaeological Park",1069,8,"Ecuador","Pichincha","Plants","Carlos Eduardo Cerón Martínez","October, 2018",2018,"English","Plants","Ecuador"
"268","Pichincha - Plants of the Middle of the World City",1037,11,"Ecuador","Pichincha","Plants","Carlos Eduardo Cerón Martínez","July, 2018",2018,"English","Plants","Ecuador"
"269","Loja - Common Plants of Ahuaca Mountain",1015,5,"Ecuador","","Plants","Carlos Eduardo Cerón Martínez, Carmita Isabel Reyes Tello , Pedro P. Peralta","May, 2018",2018,"English","Plants","Ecuador"
"270","Pichincha - Common Plants of Pululahua Geobotanical Reserve",991,9,"Ecuador","Pichincha","Plants","Carlos Eduardo Cerón Martínez, Carmita Isabel Reyes Tello","March, 2018",2018,"English","Plants","Ecuador"
"271","Pichincha - Common Pollen Grains of  Pululahua Geobotanical Reserve",987,9,"Ecuador","Pichincha","Plants","Karla Valdivieso Bermeo, Jorge Brito","March, 2018",2018,"English","Plants","Ecuador"
"272","Orellana - Emblematic Trees of Yasuní National Park",984,45,"Ecuador","Orellana","Plants","Nicolás Zapata, Emilia Rivadeneira, Wilson Loor, Rubén D. Jarrín E., Renato Valencia, Álvaro J. Pérez","January, 2018",2018,"English","Plants","Ecuador"
"273","Guayas -  Plants of the Cemetery Guayaquil",977,5,"Ecuador","Guayas","Plants","Carlos Eduardo Cerón Martínez","January, 2018",2018,"English","Plants","Ecuador"
"274","Tungurahua - Plants of Cerro Teligote",968,7,"Ecuador","Tungurahua Province","Plants","Walter Aurelio Simbaña Ayo , José Homero Vargas López","December, 2017",2017,"English","Plants","Ecuador"
"275","Pichincha - Common Plants of Mojanda lagoons",962,5,"Ecuador","Pichincha","Plants","Carlos Eduardo Cerón Martínez, Carmita Isabel Reyes Tello","November, 2017",2017,"English","Plants","Ecuador"
"276","Pichincha - Orchids of the Pululahua Geobotanical Reserve",958,9,"Ecuador","Pichincha","Plants","Patricio Oña Sánchez, Darío Reina Moreno, Luis E. Baquero","February, 2019",2019,"English","Plants","Ecuador"
"277","Imbabura - Common Plants of Cascada Peguche Protected Forest",941,11,"Ecuador","Imbabura","Plants","Carlos Eduardo Cerón Martínez, Carmita Isabel Reyes Tello, Andrea Estefanía Barona Zaldumbide","September, 2017",2017,"English","Plants","Ecuador"
"278","Imbabura -  Common Plants of Cuicocha Lagoon",914,4,"Ecuador","Imbabura","Plants","Carlos Eduardo Cerón Martínez, María de los Ángeles Fiallos Fiallos","May, 2017",2017,"English","Plants","Ecuador"
"279"," Traditional Andean Seeds of Ecuador",897,7,"Ecuador","","Plants, Seeds","Delgado, H., Gusniay, B., Cabascango, T., Guillas, J., Ulquiango, J., Suárez-Duque, D., Tapia, C. , Naranjo, E.","January, 2018",2018,"English","Plants","Ecuador"
"280","Dracula of Ecuador",891,4,"Ecuador","","Plants","Luis Baquero Rivadeneira, Nayive Moncayo Cárdenas","May, 2017",2017,"English","Plants","Ecuador"
"281","Pichincha - Common Flowers of  Pululahua Geobotanical Reserve",856,16,"Ecuador","","Plants","Jorge Brito M., Glenda M. Pozo-Zamora, Efraín Freire, Carlos E. Cerón","January, 2017",2017,"English","Plants","Ecuador"
"282","Pichincha, Imbabura - Pollens of Common Plants of inter-Andean Dry valleys",853,7,"Ecuador","","Plants","Glenda M. Pozo-Zamora","January, 2017",2017,"English","Plants","Ecuador"
"283","Andes Region - Tigridieae (Iridaceae)",746,5,"Argentina, Bolivia, Ecuador, Peru","","Plants","Hibert Huaylla Limachi","January, 2017",2017,"English","Plants","Ecuador"
"284","Esmeralda Province -- Mache-Chindul Ecological Reserve - Gesneriaceae",692,4,"Ecuador","","Plants, Climbers","John L. Clark , Laura Clavijo","July, 2015",2015,"English","Plants","Ecuador"
"285","Zamora-­Chinchipe -- Gesneriaceae of the Tapichalaca Biological Reserve",691,4,"Ecuador","","Plants, Climbers, Terrestrial herbs","John L. Clark , Tristan Cole, Javier Robayo","July, 2015",2015,"English","Plants","Ecuador"
